#numPI[l][m][n]/numK[l][m][n] is filled
0 9 17 0.274125 =1451.73/5295.88    AC1<1, 1.8<AC2<21
0 9 18 0.287588 =1534.59/5336.06    AC1<1, 1.8<AC2<22
0 9 19 0.299703 =1620.17/5405.92    AC1<1, 1.8<AC2<23
0 10 0 0.0130719 =5.70992/436.809    AC1<1, 2<AC2<4
0 10 1 0.0246735 =22.7805/923.278    AC1<1, 2<AC2<5
0 10 2 0.119703 =172.584/1441.77    AC1<1, 2<AC2<6
0 10 3 0.119069 =222.495/1868.62    AC1<1, 2<AC2<7
0 10 4 0.105614 =262.754/2487.86    AC1<1, 2<AC2<8
0 10 5 0.107812 =322.73/2993.44    AC1<1, 2<AC2<9
0 10 6 0.119907 =411.273/3429.92    AC1<1, 2<AC2<10
0 10 7 0.127338 =484.103/3801.71    AC1<1, 2<AC2<11
0 10 8 0.131999 =538.017/4075.9    AC1<1, 2<AC2<12
0 10 9 0.147731 =636.104/4305.82    AC1<1, 2<AC2<13
0 10 10 0.149177 =721.782/4838.43    AC1<1, 2<AC2<14
0 10 11 0.176398 =824.224/4672.52    AC1<1, 2<AC2<15
0 10 12 0.193669 =931.625/4810.39    AC1<1, 2<AC2<16
0 10 13 0.212913 =1056.02/4959.85    AC1<1, 2<AC2<17
0 10 14 0.227826 =1151.42/5053.92    AC1<1, 2<AC2<18
0 10 15 0.242728 =1248.5/5143.63    AC1<1, 2<AC2<19
0 10 16 0.257317 =1348.11/5239.11    AC1<1, 2<AC2<20
0 10 17 0.270882 =1442.17/5323.98    AC1<1, 2<AC2<21
0 10 18 0.28435 =1524.76/5362.27    AC1<1, 2<AC2<22
0 10 19 0.296758 =1610.16/5425.85    AC1<1, 2<AC2<23
0 11 0 0.00952755 =4.40696/462.549    AC1<1, 2.2<AC2<4
0 11 1 0.0205002 =19.7355/962.699    AC1<1, 2.2<AC2<5
0 11 2 0.131739 =169.044/1283.17    AC1<1, 2.2<AC2<6
0 11 3 0.109242 =210.394/1925.94    AC1<1, 2.2<AC2<7
0 11 4 0.0826553 =241.486/2921.6    AC1<1, 2.2<AC2<8
0 11 5 0.10203 =310.627/3044.46    AC1<1, 2.2<AC2<9
0 11 6 0.115035 =399.797/3475.43    AC1<1, 2.2<AC2<10
0 11 7 0.126722 =467.18/3686.65    AC1<1, 2.2<AC2<11
0 11 8 0.127459 =524.809/4117.47    AC1<1, 2.2<AC2<12
0 11 9 0.143196 =622.104/4344.42    AC1<1, 2.2<AC2<13
0 11 10 0.146383 =706.836/4828.66    AC1<1, 2.2<AC2<14
0 11 11 0.171733 =808.239/4706.37    AC1<1, 2.2<AC2<15
0 11 12 0.188935 =914.887/4842.33    AC1<1, 2.2<AC2<16
0 11 13 0.208208 =1038.94/4989.93    AC1<1, 2.2<AC2<17
0 11 14 0.223065 =1133.69/5082.35    AC1<1, 2.2<AC2<18
0 11 15 0.238032 =1230.7/5170.3    AC1<1, 2.2<AC2<19
0 11 16 0.252642 =1330.07/5264.63    AC1<1, 2.2<AC2<20
0 11 17 0.26627 =1424.02/5348.05    AC1<1, 2.2<AC2<21
0 11 18 0.285321 =1503.06/5267.97    AC1<1, 2.2<AC2<22
0 11 19 0.293528 =1591.47/5421.88    AC1<1, 2.2<AC2<23
0 12 0 0.0041254 =2.81107/681.404    AC1<1, 2.4<AC2<4
0 12 1 0.0122582 =93.0515/7590.97    AC1<1, 2.4<AC2<5
0 12 2 0.11675 =168.767/1445.54    AC1<1, 2.4<AC2<6
0 12 3 0.104738 =209.891/2003.97    AC1<1, 2.4<AC2<7
0 12 4 0.0616297 =162.144/2630.93    AC1<1, 2.4<AC2<8
0 12 5 0.096091 =297.305/3093.99    AC1<1, 2.4<AC2<9
0 12 6 0.110036 =387.275/3519.54    AC1<1, 2.4<AC2<10
0 12 7 0.118457 =460.527/3887.72    AC1<1, 2.4<AC2<11
0 12 8 0.124112 =515.911/4156.84    AC1<1, 2.4<AC2<12
0 12 9 0.140014 =613.469/4381.47    AC1<1, 2.4<AC2<13
0 12 10 0.145039 =698.823/4818.17    AC1<1, 2.4<AC2<14
0 12 11 0.169042 =800.842/4737.52    AC1<1, 2.4<AC2<15
0 12 12 0.186312 =907.739/4872.14    AC1<1, 2.4<AC2<16
0 12 13 0.205633 =1031.96/5018.47    AC1<1, 2.4<AC2<17
0 12 14 0.220586 =1127.14/5109.75    AC1<1, 2.4<AC2<18
0 12 15 0.235553 =1224.25/5197.35    AC1<1, 2.4<AC2<19
0 12 16 0.250127 =1323.62/5291.79    AC1<1, 2.4<AC2<20
0 12 17 0.263934 =1417.66/5371.26    AC1<1, 2.4<AC2<21
0 12 18 0.279591 =1500.22/5365.76    AC1<1, 2.4<AC2<22
0 12 19 0.292997 =1586/5413.03    AC1<1, 2.4<AC2<23
0 13 0 0.00725515 =3.32578/458.403    AC1<1, 2.6<AC2<4
0 13 1 0.0195875 =19.45/992.98    AC1<1, 2.6<AC2<5
0 13 2 0.0443632 =65.4038/1474.28    AC1<1, 2.6<AC2<6
0 13 3 0.0878261 =175.166/1994.47    AC1<1, 2.6<AC2<7
0 13 4 0.0836185 =218.238/2609.93    AC1<1, 2.6<AC2<8
0 13 5 0.0908274 =281.77/3102.26    AC1<1, 2.6<AC2<9
0 13 6 0.0969786 =367.026/3784.6    AC1<1, 2.6<AC2<10
0 13 7 0.112926 =439.448/3891.46    AC1<1, 2.6<AC2<11
0 13 8 0.11957 =497.261/4158.76    AC1<1, 2.6<AC2<12
0 13 9 0.13586 =595.179/4380.81    AC1<1, 2.6<AC2<13
0 13 10 0.148841 =680.82/4574.14    AC1<1, 2.6<AC2<14
0 13 11 0.165489 =783.062/4731.81    AC1<1, 2.6<AC2<15
0 13 12 0.182937 =889.847/4864.24    AC1<1, 2.6<AC2<16
0 13 13 0.202411 =1013.85/5008.88    AC1<1, 2.6<AC2<17
0 13 14 0.217582 =1109.33/5098.47    AC1<1, 2.6<AC2<18
0 13 15 0.232712 =1206.54/5184.7    AC1<1, 2.6<AC2<19
0 13 16 0.247493 =1305.72/5275.8    AC1<1, 2.6<AC2<20
0 13 17 0.262824 =1399.88/5326.29    AC1<1, 2.6<AC2<21
0 13 18 0.278007 =1483.01/5334.45    AC1<1, 2.6<AC2<22
