1 1 1 0.999958 1 z_sum<455, z_diff<2
1 1 1 0.999958 1 z_sum<460, z_diff<2
1 1 1 0.999958 1 z_sum<465, z_diff<2
1 1 1 0.999958 1 z_sum<470, z_diff<2
1 1 1 0.999958 1 z_sum<475, z_diff<2
1 1 1 0.999958 1 z_sum<480, z_diff<2
1 1 1 0.999958 1 z_sum<485, z_diff<2
1 1 1 0.999958 1 z_sum<490, z_diff<2
1 1 1 0.999958 1 z_sum<495, z_diff<2
5.2521e-05 0.00100452 0.000257948 0.00381757 0.0077649 z_sum<0, z_diff<3
0.00934874 0.025113 0.0205714 0.030255 0.0535778 z_sum<5, z_diff<3
0.0183167 0.0507283 0.0379184 0.0642793 0.0765813 z_sum<10, z_diff<3
0.0261161 0.0723255 0.0584897 0.0908115 0.138603 z_sum<15, z_diff<3
0.0364758 0.101205 0.0746115 0.155472 0.17704 z_sum<20, z_diff<3
0.0460741 0.123305 0.0957632 0.193314 0.199558 z_sum<25, z_diff<3
0.0538997 0.136113 0.110402 0.219894 0.19917 z_sum<30, z_diff<3
0.0626313 0.152185 0.13452 0.250244 0.206255 z_sum<35, z_diff<3
0.0716387 0.183576 0.151222 0.326357 0.221203 z_sum<40, z_diff<3
0.0812106 0.203415 0.171406 0.371977 0.235762 z_sum<45, z_diff<3
0.0897321 0.224008 0.19043 0.413923 0.281381 z_sum<50, z_diff<3
0.0979517 0.245103 0.21055 0.45563 0.319817 z_sum<55, z_diff<3
0.106828 0.263435 0.229832 0.48975 0.342917 z_sum<60, z_diff<3
0.115743 0.283777 0.250016 0.52387 0.396786 z_sum<65, z_diff<3
0.124659 0.309392 0.267944 0.554316 0.458323 z_sum<70, z_diff<3
0.133758 0.328478 0.284581 0.592205 0.47298 z_sum<75, z_diff<3
0.141597 0.340784 0.302251 0.618643 0.503748 z_sum<80, z_diff<3
0.149987 0.361627 0.316051 0.660445 0.542087 z_sum<85, z_diff<3
0.156933 0.378202 0.3363 0.694708 0.564702 z_sum<90, z_diff<3
0.164982 0.392516 0.35384 0.724962 0.571497 z_sum<95, z_diff<3
0.172925 0.410095 0.368801 0.755121 0.609836 z_sum<100, z_diff<3
0.180134 0.428679 0.381247 0.78175 0.639828 z_sum<105, z_diff<3
0.188905 0.438473 0.395886 0.803989 0.637984 z_sum<110, z_diff<3
0.207274 0.464591 0.418714 0.821693 0.688359 z_sum<115, z_diff<3
0.296796 0.527122 0.490746 0.853619 0.734948 z_sum<120, z_diff<3
0.612513 0.730789 0.743535 0.919226 0.871504 z_sum<125, z_diff<3
0.899015 0.927675 0.939382 0.96722 0.979269 z_sum<130, z_diff<3
0.977009 0.982672 0.990262 0.989414 0.996549 z_sum<135, z_diff<3
0.991413 0.996986 0.998001 0.992684 1.00165 z_sum<140, z_diff<3
0.995444 0.997489 0.998775 0.996407 1.00078 z_sum<145, z_diff<3
0.996941 0.996986 0.999484 0.996216 1.00029 z_sum<150, z_diff<3
0.99782 0.996986 0.999484 0.996216 1.00029 z_sum<155, z_diff<3
0.998188 0.996986 0.99942 0.996216 1.00029 z_sum<160, z_diff<3
0.998293 0.996986 0.999355 0.996216 1.00029 z_sum<165, z_diff<3
0.998556 0.996986 0.999291 0.996121 1.00029 z_sum<170, z_diff<3
0.9987 0.996986 0.999291 0.996121 1.00019 z_sum<175, z_diff<3
0.998753 0.996986 0.999226 0.996121 1.00019 z_sum<180, z_diff<3
0.998963 0.997991 0.999484 0.996121 1.00019 z_sum<185, z_diff<3
0.999068 0.997991 0.999742 0.996121 1.00019 z_sum<190, z_diff<3
0.999173 0.997991 0.999742 0.996121 1.00019 z_sum<195, z_diff<3
0.999225 0.998995 0.999742 0.996121 1.00019 z_sum<200, z_diff<3
0.99933 0.998995 0.999742 0.996121 1.00019 z_sum<205, z_diff<3
0.999435 1 1 0.999939 1.00019 z_sum<210, z_diff<3
0.99954 1 1 0.999939 1.0001 z_sum<215, z_diff<3
0.999645 1 1 0.999939 1.0001 z_sum<220, z_diff<3
0.999751 1 1 0.999939 1.0001 z_sum<225, z_diff<3
0.999751 1 1 0.999939 1.0001 z_sum<230, z_diff<3
0.999751 1 1 0.999939 1.0001 z_sum<235, z_diff<3
0.999803 1 1 0.999939 1.0001 z_sum<240, z_diff<3
0.999803 1 1 0.999939 1.0001 z_sum<245, z_diff<3
0.99979 1 1 0.999939 1.0001 z_sum<250, z_diff<3
0.99979 1 1 0.999939 1.0001 z_sum<255, z_diff<3
0.999842 1 1 0.999939 1.0001 z_sum<260, z_diff<3
0.999895 1 1 0.999939 1.0001 z_sum<265, z_diff<3
1 1 1 0.999939 1 z_sum<270, z_diff<3
1 1 1 0.999939 1 z_sum<275, z_diff<3
1 1 1 0.999939 1 z_sum<280, z_diff<3
1 1 1 0.999939 1 z_sum<285, z_diff<3
1 1 1 0.999939 1 z_sum<290, z_diff<3
1 1 1 0.999939 1 z_sum<295, z_diff<3
1 1 1 0.999939 1 z_sum<300, z_diff<3
1 1 1 0.999939 1 z_sum<305, z_diff<3
1 1 1 0.999939 1 z_sum<310, z_diff<3
1 1 1 0.999939 1 z_sum<315, z_diff<3
1 1 1 0.999939 1 z_sum<320, z_diff<3
1 1 1 0.999939 1 z_sum<325, z_diff<3
1 1 1 0.999939 1 z_sum<330, z_diff<3
1 1 1 0.999939 1 z_sum<335, z_diff<3
1 1 1 0.999939 1 z_sum<340, z_diff<3
1 1 1 0.999939 1 z_sum<345, z_diff<3
1 1 1 0.999939 1 z_sum<350, z_diff<3
1 1 1 0.999939 1 z_sum<355, z_diff<3
1 1 1 0.999939 1 z_sum<360, z_diff<3
1 1 1 0.999939 1 z_sum<365, z_diff<3
1 1 1 0.999939 1 z_sum<370, z_diff<3
1 1 1 0.999939 1 z_sum<375, z_diff<3
1 1 1 0.999939 1 z_sum<380, z_diff<3
1 1 1 0.999939 1 z_sum<385, z_diff<3
1 1 1 0.999939 1 z_sum<390, z_diff<3
1 1 1 0.999939 1 z_sum<395, z_diff<3
1 1 1 0.999939 1 z_sum<400, z_diff<3
1 1 1 0.999939 1 z_sum<405, z_diff<3
1 1 1 0.999939 1 z_sum<410, z_diff<3
1 1 1 0.999939 1 z_sum<415, z_diff<3
1 1 1 0.999939 1 z_sum<420, z_diff<3
1 1 1 0.999939 1 z_sum<425, z_diff<3
1 1 1 0.999939 1 z_sum<430, z_diff<3
1 1 1 0.999939 1 z_sum<435, z_diff<3
1 1 1 0.999939 1 z_sum<440, z_diff<3
1 1 1 0.999939 1 z_sum<445, z_diff<3
1 1 1 0.999939 1 z_sum<450, z_diff<3
1 1 1 0.999939 1 z_sum<455, z_diff<3
1 1 1 0.999939 1 z_sum<460, z_diff<3
1 1 1 0.999939 1 z_sum<465, z_diff<3
1 1 1 0.999939 1 z_sum<470, z_diff<3
1 1 1 0.999939 1 z_sum<475, z_diff<3
1 1 1 0.999939 1 z_sum<480, z_diff<3
1 1 1 0.999939 1 z_sum<485, z_diff<3
1 1 1 0.999939 1 z_sum<490, z_diff<3
1 1 1 0.999939 1 z_sum<495, z_diff<3
3.99648e-05 0.000777001 0.000195503 0.00295327 0.00589947 z_sum<0, z_diff<4
0.00925186 0.0254468 0.0209677 0.0350337 0.0463846 z_sum<5, z_diff<4
0.0180641 0.0495338 0.0383675 0.0731678 0.0696875 z_sum<10, z_diff<4
0.0264567 0.0732323 0.0597752 0.0995629 0.140186 z_sum<15, z_diff<4
0.0361282 0.100622 0.0766373 0.15538 0.180893 z_sum<20, z_diff<4
0.0457397 0.120435 0.0987292 0.190561 0.197854 z_sum<25, z_diff<4
